,birthCountry,debutDecade,count,count_decade,pct
0,USA,1870,382,448,0.852678571429
1,Ireland,1870,12,448,0.0267857142857
2,Germany,1870,4,448,0.00892857142857
3,Netherlands,1870,1,448,0.00223214285714
4,France,1870,1,448,0.00223214285714
5,CAN,1870,4,448,0.00892857142857
6,Cuba,1870,1,448,0.00223214285714
7,Czech Republic,1870,1,448,0.00223214285714
8,United Kingdom,1870,10,448,0.0223214285714
9,United Kingdom,1880,7,933,0.0075026795284
10,Australia,1880,1,933,0.0010718113612
11,CAN,1880,40,933,0.042872454448
12,Ireland,1880,19,933,0.0203644158628
13,USA,1880,837,933,0.897106109325
14,Germany,1880,4,933,0.0042872454448
15,Sweden,1880,1,933,0.0010718113612
16,Netherlands,1890,2,813,0.00246002460025
17,CAN,1890,16,813,0.019680196802
18,Ireland,1890,7,813,0.00861008610086
19,Norway,1890,1,813,0.00123001230012
20,France,1890,1,813,0.00123001230012
21,United Kingdom,1890,5,813,0.00615006150062
22,Russia,1890,1,813,0.00123001230012
23,USA,1890,766,813,0.942189421894
24,Germany,1890,5,813,0.00615006150062
25,Germany,1900,4,1084,0.00369003690037
26,Cuba,1900,1,1084,0.000922509225092
27,France,1900,1,1084,0.000922509225092
28,Switzerland,1900,1,1084,0.000922509225092
29,Colombia,1900,1,1084,0.000922509225092
30,United Kingdom,1900,11,1084,0.010147601476
31,Netherlands,1900,2,1084,0.00184501845018
32,Russia,1900,2,1084,0.00184501845018
33,Slovakia,1900,1,1084,0.000922509225092
34,USA,1900,1026,1084,0.946494464945
35,CAN,1900,23,1084,0.0212177121771
36,Austria,1900,2,1084,0.00184501845018
37,Norway,1900,1,1084,0.000922509225092
38,Ireland,1900,5,1084,0.00461254612546
39,At Sea,1910,1,1546,0.000646830530401
40,USA,1910,1503,1546,0.972186287193
41,United Kingdom,1910,4,1546,0.0025873221216
42,France,1910,1,1546,0.000646830530401
43,Czech Republic,1910,1,1546,0.000646830530401
44,Cuba,1910,12,1546,0.00776196636481
45,Spain,1910,1,1546,0.000646830530401
46,Denmark,1910,1,1546,0.000646830530401
47,Russia,1910,2,1546,0.0012936610608
48,Germany,1910,5,1546,0.00323415265201
49,Sweden,1910,3,1546,0.0019404915912
50,Ireland,1910,2,1546,0.0012936610608
51,CAN,1910,8,1546,0.00517464424321
52,China,1910,1,1546,0.000646830530401
53,CAN,1920,5,1206,0.00414593698176
54,Poland,1920,1,1206,0.000829187396352
55,Germany,1920,2,1206,0.0016583747927
56,Finland,1920,1,1206,0.000829187396352
57,Cuba,1920,5,1206,0.00414593698176
58,USA,1920,1188,1206,0.985074626866
59,Russia,1920,1,1206,0.000829187396352
60,Norway,1920,1,1206,0.000829187396352
61,Austria,1920,1,1206,0.000829187396352
62,United Kingdom,1920,1,1206,0.000829187396352
63,USA,1930,1018,1038,0.980732177264
64,Germany,1930,1,1038,0.000963391136802
65,Italy,1930,2,1038,0.0019267822736
66,Mexico,1930,2,1038,0.0019267822736
67,Poland,1930,2,1038,0.0019267822736
68,Lithuania,1930,1,1038,0.000963391136802
69,Russia,1930,1,1038,0.000963391136802
