,birthState,debutDecade,count,count_decade,pct
0,Suffolk,1870,1,37,0.02702702702702703
1,Worcestershire,1870,1,37,0.02702702702702703
2,LA,1870,3,37,0.08108108108108109
3,NH,1870,1,37,0.02702702702702703
4,La Habana,1870,1,37,0.02702702702702703
5,Antrim,1870,1,37,0.02702702702702703
6,WI,1870,1,37,0.02702702702702703
7,London,1870,2,37,0.05405405405405406
8,MA,1870,26,37,0.7027027027027027
9,MD,1870,31,37,0.8378378378378378
10,OH,1870,14,37,0.3783783783783784
11,ME,1870,6,37,0.16216216216216217
12,CA,1870,1,37,0.02702702702702703
13,MI,1870,2,37,0.05405405405405406
14,PA,1870,70,37,1.8918918918918919
15,RI,1870,5,37,0.13513513513513514
16,MO,1870,17,37,0.4594594594594595
17,NC,1870,1,37,0.02702702702702703
18,CT,1870,18,37,0.4864864864864865
19,KY,1870,6,37,0.16216216216216217
20,NB,1870,1,37,0.02702702702702703
21,NJ,1870,16,37,0.43243243243243246
22,GA,1870,1,37,0.02702702702702703
23,North Yorkshire,1870,1,37,0.02702702702702703
24,Tyrone,1870,1,37,0.02702702702702703
25,VA,1870,3,37,0.08108108108108109
26,Glasgow,1870,1,37,0.02702702702702703
27,OK,1870,1,37,0.02702702702702703
28,Norfolk,1870,1,37,0.02702702702702703
29,DC,1870,10,37,0.2702702702702703
30,ON,1870,2,37,0.05405405405405406
31,IA,1870,2,37,0.05405405405405406
32,IL,1870,15,37,0.40540540540540543
33,NY,1870,125,37,3.3783783783783785
34,DE,1870,2,37,0.05405405405405406
35,IN,1870,3,37,0.08108108108108109
36,WV,1870,2,37,0.05405405405405406
37,Westmeath,1880,1,47,0.02127659574468085
38,New South Wales,1880,1,47,0.02127659574468085
39,NY,1880,119,47,2.5319148936170213
40,NH,1880,6,47,0.1276595744680851
41,CA,1880,21,47,0.44680851063829785
42,NS,1880,3,47,0.06382978723404255
43,NJ,1880,18,47,0.3829787234042553
44,NB,1880,2,47,0.0425531914893617
45,Merseyside,1880,1,47,0.02127659574468085
46,MD,1880,25,47,0.5319148936170213
47,CT,1880,23,47,0.48936170212765956
48,GA,1880,1,47,0.02127659574468085
49,Glasgow,1880,1,47,0.02127659574468085
50,Denbighshire,1880,1,47,0.02127659574468085
51,WV,1880,4,47,0.0851063829787234
52,IA,1880,9,47,0.19148936170212766
53,IL,1880,59,47,1.2553191489361701
54,DE,1880,6,47,0.1276595744680851
55,IN,1880,16,47,0.3404255319148936
56,KS,1880,1,47,0.02127659574468085
57,DC,1880,18,47,0.3829787234042553
58,KY,1880,35,47,0.7446808510638298
59,LA,1880,10,47,0.2127659574468085
60,Clare,1880,1,47,0.02127659574468085
61,WI,1880,17,47,0.3617021276595745
62,MA,1880,94,47,2.0
63,ME,1880,8,47,0.1702127659574468
64,MI,1880,12,47,0.2553191489361702
65,MN,1880,7,47,0.14893617021276595
66,MO,1880,40,47,0.851063829787234
67,MS,1880,1,47,0.02127659574468085
68,OH,1880,81,47,1.7234042553191489
69,Dublin,1880,2,47,0.0425531914893617
70,QC,1880,2,47,0.0425531914893617
71,TX,1880,1,47,0.02127659574468085
72,PA,1880,168,47,3.574468085106383
73,Oxfordshire,1880,1,47,0.02127659574468085
74,Tyrone,1880,1,47,0.02127659574468085
75,AL,1880,1,47,0.02127659574468085
76,Stirling,1880,1,47,0.02127659574468085
77,ON,1880,28,47,0.5957446808510638
78,VT,1880,7,47,0.14893617021276595
79,PE,1880,2,47,0.0425531914893617
80,VA,1880,11,47,0.23404255319148937
81,Antrim,1880,1,47,0.02127659574468085
82,RI,1880,14,47,0.2978723404255319
83,TN,1880,4,47,0.0851063829787234
84,MS,1890,1,46,0.021739130434782608
85,KY,1890,27,46,0.5869565217391305
86,DC,1890,10,46,0.21739130434782608
87,CO,1890,2,46,0.043478260869565216
88,Dublin,1890,2,46,0.043478260869565216
89,KS,1890,4,46,0.08695652173913043
90,NB,1890,2,46,0.043478260869565216
91,TN,1890,10,46,0.21739130434782608
92,Kildare,1890,1,46,0.021739130434782608
93,AB,1890,1,46,0.021739130434782608
94,Powys,1890,1,46,0.021739130434782608
95,VT,1890,3,46,0.06521739130434782
96,MD,1890,27,46,0.5869565217391305
97,OH,1890,97,46,2.108695652173913
98,WI,1890,12,46,0.2608695652173913
99,SC,1890,3,46,0.06521739130434782
100,ME,1890,6,46,0.13043478260869565
101,West Midlands,1890,1,46,0.021739130434782608
102,RI,1890,7,46,0.15217391304347827
103,MI,1890,13,46,0.2826086956521739
104,MN,1890,4,46,0.08695652173913043
105,LA,1890,2,46,0.043478260869565216
106,AR,1890,1,46,0.021739130434782608
107,QC,1890,1,46,0.021739130434782608
108,CT,1890,17,46,0.3695652173913043
109,IN,1890,22,46,0.4782608695652174
110,MO,1890,44,46,0.9565217391304348
111,PA,1890,142,46,3.0869565217391304
112,MA,1890,78,46,1.6956521739130435
113,NJ,1890,25,46,0.5434782608695652
114,NY,1890,85,46,1.8478260869565217
115,NH,1890,6,46,0.13043478260869565
116,NS,1890,2,46,0.043478260869565216
117,AL,1890,3,46,0.06521739130434782
118,OR,1890,2,46,0.043478260869565216
119,GA,1890,5,46,0.10869565217391304
120,IL,1890,58,46,1.2608695652173914
121,ON,1890,10,46,0.21739130434782608
122,NE,1890,3,46,0.06521739130434782
123,NC,1890,1,46,0.021739130434782608
124,DE,1890,3,46,0.06521739130434782
125,TX,1890,3,46,0.06521739130434782
126,VA,1890,10,46,0.21739130434782608
127,CA,1890,15,46,0.32608695652173914
128,WV,1890,9,46,0.1956521739130435
129,IA,1890,6,46,0.13043478260869565
130,AR,1900,4,64,0.0625
131,Galway,1900,1,64,0.015625
132,Glasgow,1900,1,64,0.015625
133,GA,1900,6,64,0.09375
134,WI,1900,33,64,0.515625
135,UT,1900,1,64,0.015625
136,FL,1900,1,64,0.015625
137,WY,1900,1,64,0.015625
138,Dublin,1900,1,64,0.015625
139,VT,1900,8,64,0.125
140,La Habana,1900,1,64,0.015625
141,Herefordshire,1900,1,64,0.015625
142,IL,1900,79,64,1.234375
143,WV,1900,10,64,0.15625
144,SD,1900,1,64,0.015625
145,TN,1900,14,64,0.21875
146,KS,1900,17,64,0.265625
147,DC,1900,9,64,0.140625
148,DE,1900,6,64,0.09375
149,AL,1900,5,64,0.078125
150,LA,1900,4,64,0.0625
151,Swansea,1900,1,64,0.015625
152,KY,1900,15,64,0.234375
153,IA,1900,30,64,0.46875
154,Kerry,1900,1,64,0.015625
155,TX,1900,20,64,0.3125
156,VA,1900,10,64,0.15625
157,Staffordshire,1900,1,64,0.015625
158,ID,1900,2,64,0.03125
