name	team	date
Troy Cate	Seattle Mariners	April 4, 2005
Willie Collazo	Los Angeles Angels of Anaheim	April 4, 2005
Francisco Córdova	Los Angeles Angels of Anaheim	April 4, 2005
Jesús Guzmán	Seattle Mariners	April 4, 2005
Clay Hensley	San Diego Padres	April 4, 2005
Robert Machado	Texas Rangers	April 4, 2005
Damian Moss	Seattle Mariners	April 4, 2005
Brian Mallette	Pittsburgh Pirates	April 6, 2005
Jon Nunnally	Pittsburgh Pirates	April 6, 2005
Tom Evans	Pittsburgh Pirates	April 6, 2005
Julius Matos	Toronto Blue Jays	April 6, 2005
Ricardo Rodríguez	Atlanta Braves	April 22, 2005
Grant Roberts	New York Mets	April 22, 2005
Eider Torres	Cleveland Indians	April 22, 2005
Randy Ruiz	Philadelphia Phillies	May 3, 2005
Darnell McDonald	Cleveland Indians	May 6, 2005
Guillermo Rodríguez	San Francisco Giants	May 12, 2005
Jonathan Herrera	Colorado Rockies	May 12, 2005
Steve Smyth	Oakland Athletics	May 12, 2005
Jorge Toca	Chicago White Sox	May 12, 2005
Christian Parker	Colorado Rockies	May 12, 2005
Luis Ugueto	Kansas City Royals	May 13, 2005
Wilson Delgado	Florida Marlins	May 13, 2005
Ramón A. Castro	Washington Nationals	July 1, 2005
Josh Labandeira	Washington Nationals	July 1, 2005
Matt Whiteside	Toronto Blue Jays	July 15, 2005
Randy Ruiz	Philadelphia Phillies	July 22, 2005
Wilson Delgado	Florida Marlins	August 12, 2005
Luis Ugueto	Kansas City Royals	August 16, 2005
Ramón Ramírez	Cincinnati Reds	April 11, 2006
Nerio Rodríguez	Pittsburgh Pirates	May 19, 2006
Abraham Núñez	San Francisco Giants	May 24, 2006
Yamid Haad	San Francisco Giants	May 31, 2006
Daniel McCutchen	New York Yankees	August 8, 2006
Francisco Cruceta	Texas Rangers	May 9, 2007
Lino Urdaneta	New York Mets	May 16, 2007
Ángel Salomé	Milwaukee Brewers	July 24, 2007
Ryan Jorgensen	Cincinnati Reds	September 7, 2007
Luther Hackman	Texas Rangers	October 30, 2007
Jordan Schafer	Atlanta Braves	April 8, 2008
Humberto Cota	Colorado Rockies	May 28, 2008
Jorge Sosa	Seattle Mariners	August 21, 2008
Runelvys Hernández	Houston Astros	September 6, 2008
Henry Owens	Florida Marlins	November 11, 2008
Sergio Mitre	New York Yankees[A]	January 6, 2009
Pablo Ozuna	Philadelphia Phillies	June 11, 2009
Prentice Redman	Los Angeles Dodgers	June 25, 2010
Pedro López	Washington Nationals	July 27, 2010
Prentice Redman	Los Angeles Dodgers	July 27, 2010
Omar Quintanilla	Colorado Rockies	August 11, 2010
Matt Kinney	San Francisco Giants	August 24, 2010
Kevin Frandsen	Philadelphia Phillies	May 11, 2011
Daniel McCutchen	Baltimore Orioles	April 6, 2013
Jordany Valdespin	New York Mets	August 5, 2013
Jesús Montero	Seattle Mariners	August 5, 2013
Sergio Escalona	Houston Astros	August 5, 2013
Fernando Martínez	New York Yankees	August 5, 2013
Álex Colomé	Tampa Bay Rays	March 24, 2014
Arodys Vizcaíno	Atlanta Braves	April 2, 2015
Javy Guerra	Chicago White Sox	July 8, 2015
Alex Sánchez	Tampa Bay Devil Rays	April 3, 2005
Agustín Montero	Texas Rangers	April 20, 2005
Jamal Strong	Seattle Mariners	April 26, 2005
Juan Rincón	Minnesota Twins	May 2, 2005
Rafael Betancourt	Cleveland Indians	July 8, 2005
Rafael Palmeiro	Baltimore Orioles	August 1, 2005
Ryan Franklindagger	Seattle Mariners	August 2, 2005
Mike Morse	Seattle Mariners	September 7, 2005
Carlos Almanzar	Texas Rangers	October 4, 2005
Félix Heredia	New York Mets	October 18, 2005
Matt Lawton	New York Yankees	November 2, 2005
Yusaku Iriki	New York Mets	April 28, 2006
Jason Grimsleydagger	Arizona Diamondbacks	June 12, 2006
Guillermo Mota	New York Mets	November 1, 2006
Juan Salas	Tampa Bay Devil Rays	May 7, 2007
Neifi Pérez	Detroit Tigers	July 6, 2007
Neifi Pérez	Detroit Tigers	August 3, 2007
Mike Cameron	San Diego Padres	October 31, 2007
Dan Serafini	Colorado Rockies	November 27, 2007
José Guilléndagger	Kansas City Royals	December 6, 2007
Jay Gibbonsdagger	Baltimore Orioles	December 6, 2007
Eliézer Alfonzo	San Francisco Giants	April 30, 2008
J. C. Romero	Philadelphia Phillies	January 6, 2009
Manny Ramirez	Los Angeles Dodgers	May 7, 2009
Edinson Vólquez	Cincinnati Reds	April 20, 2010
Manny Ramirez	Tampa Bay Rays	April 8, 2011
Eliézer Alfonzo	Colorado Rockies	September 14, 2011
Guillermo Mota	San Francisco Giants	May 7, 2012
Freddy Galvis	Philadelphia Phillies	June 19, 2012
Marlon Byrd	Free agent	June 25, 2012
Melky Cabrera	San Francisco Giants	August 15, 2012
Bartolo Colón	Oakland Athletics	August 22, 2012
Yasmani Grandal	San Diego Padres	November 7, 2012
Carlos Ruiz	Philadelphia Phillies	November 27, 2012
Ryan Braun	Milwaukee Brewers	July 22, 2013
Nelson Cruz	Texas Rangers	August 5, 2013
Jhonny Peralta	Detroit Tigers	August 5, 2013
Everth Cabrera	San Diego Padres	August 5, 2013
Antonio Bastardo	Philadelphia Phillies	August 5, 2013
Francisco Cervelli	New York Yankees	August 5, 2013
Alex Rodriguez	New York Yankees	August 5, 2013
Miguel Tejadadagger	Kansas City Royals	August 17, 2013
Troy Patton	Baltimore Orioles	December 20, 2013
Cameron Maybin	San Diego Padres	July 23, 2014
David Rollins	Seattle Mariners	March 27, 2015
Ervin Santana	Minnesota Twins	April 3, 2015
Jenrry Mejía	New York Mets	April 11, 2015
Andrew McKirahan	Atlanta Braves	April 20, 2015
Jenrry Mejía	New York Mets	July 28, 2015
Cody Stanley	St. Louis Cardinals	September 12, 2015
Jenrry Mejía	New York Mets	February 12, 2016
Abraham Almonte	Cleveland Indians	February 26, 2016
Daniel Stumpf	Philadelphia Phillies	April 14, 2016
Chris Colabello	Toronto Blue Jays	April 22, 2016
Dee Gordon	Miami Marlins	April 29, 2016
Josh Ravin	Los Angeles Dodgers	May 2, 2016
Raul A. Mondesi	Kansas City Royals	May 10, 2016
Marlon Byrd	Cleveland Indians	June 1, 2016
Alec Asher	Philadelphia Phillies	June 16, 2016
